Number of variables found: 32
Variable Name	SAS Label	Variable Description	Data File Name	Component Link
RHD018	Estimated age in months at menarche	Derived from RHQ018 - In what month did {you/SP} have {your/her} first menstrual period?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD043	Reason not having regular periods	What is the reason that {you have/SP has} not had a period in the past 12 months?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD143	Are you pregnant now?	{Are you/Is SP} pregnant now?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD167	Total number of deliveries	How many deliveries {have you/has SP} had? (Please count all vaginal and Cesarean deliveries and count stillbirths as well as live births.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD180	Age at first live birth	How old {were you/was SP} at the time of {your/her} first live birth?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD190	Age at last live birth	How old were you at the time of your last live birth?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHD280	Had a hysterectomy?	{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ010	Age when first menstrual period occurred	The next series of questions are about {your/SP's} reproductive history. I will begin by asking about {your/SP's} periods or menstrual cycles. How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ020	Age range at first menstrual period	{Were you/Was SP}...	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ031	Had regular periods in past 12 months	{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ060	Age at last menstrual period	About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ070	Age range at last menstrual period	{Were you/Was SP}...	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ074	Tried for a year to become pregnant?	The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ076	Seen a DR b/c unable to become pregnant?	{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ078	Ever treated for a pelvic infection/PID?	{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ131	Ever been pregnant?	The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ160	How many times have been pregnant?	How many times {have you/has SP} been pregnant? ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ162	During pregnancy, told you have diabetes	During {any/your/SP's} pregnancy, {were you/was SP} ever told by a doctor or other health professional that {you/she} had diabetes, sugar diabetes or gestational diabetes? Please do not include diabetes that {you/SP} may have known about before the pregnancy.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ171	How many deliveries live birth result?	How many of {your/her} deliveries resulted {Did {your/her} delivery result} in a live birth?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ172	Any babies weigh 9 lbs or more?	{Did {your/SP's} delivery/Did any of {your/SP's} deliveries} result in a baby that weighed 9 pounds (4082 g) or more at birth? (Please count stillbirths as well as live births.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ197	How many months ago have baby?	How many months ago did {you/SP} have {your/her} baby?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ200	Now breastfeeding a child?	{Are you/Is SP} now breast feeding a child?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ305	Had both ovaries removed?	{Have you/Has SP} had both of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ332	Age when both ovaries removed	How old {were you/was SP} when {you/she} had {your/her} ovaries removed or last ovary removed if removed at different times?	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ540	Ever use female hormones?	{Have you/Has SP} ever used female hormones such as estrogen and progesterone? Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ542A	Hormone pills used	Which forms of female hormones {have you/has SP} used.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ542B	Hormone patches used	Which forms of female hormones {have you/has SP} used.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ542C	Hormone cream/suppository/injection used	Which forms of female hormones {have you/has SP} used.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ542D	Other form of female hormone used	Which forms of female hormones {have you/has SP} used.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ554	Use hormone pills w/estrogen only	{Have you/Has SP} ever taken female hormone pills containing estrogen only (like Premarin)? (Do not include birth control pills.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
RHQ570	Used estrogen/progestin combo pills	{Have you/Has SP} taken female hormone pills containing both estrogen and progestin (like Prempro, Premphase)? (Do not include birth control pills.)	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
SEQN	Respondent sequence number	Respondent sequence number.	Reproductive Health (P_RHQ)	2017-2020 Questionnaire
