Feature,Metabolic Risk (n=121),Low Risk (n=584),Lowest Risk (n=633),p-value
── CKM Biomarkers ──,,,,
HbA1c (%),6.1 [5.8–6.5],5.4 [5.3–5.6],5.1 [4.9–5.3],<0.001
Glucose (mg/dL),108.0 [101.0–118.0],89.0 [84.0–94.0],85.0 [80.0–89.0],<0.001
BMI (kg/m²),39.2 [32.8–46.1],32.8 [28.8–38.8],23.8 [21.2–27.1],<0.001
Waist (cm),119.3 [104.3–133.0],102.2 [93.0–115.7],82.1 [75.0–91.5],<0.001
Mean_SBP (mmHg),115.7 [105.3–126.0],110.0 [103.3–120.0],105.7 [99.3–111.7],<0.001
Mean_DBP (mmHg),78.3 [70.7–87.3],74.0 [67.3–81.0],66.3 [61.3–72.7],<0.001
eGFR (mL/min/1.73m²),111.5 [97.2–118.1],111.3 [97.8–120.0],115.0 [103.6–122.3],<0.001
HDL (mg/dL),43.0 [37.0–49.0],48.0 [42.0–56.0],63.0 [55.0–72.0],<0.001
── Reproductive History ──,,,,
Age Menarche,12.0 [12.0–13.0],12.0 [11.0–13.0],13.0 [12.0–14.0],0.001
Parity,2.0 [1.0–3.0],2.0 [0.0–3.0],1.0 [0.0–2.0],<0.001
Pregnancy Loss,0.0 [0.0–1.0],0.0 [0.0–1.0],0.0 [0.0–1.0],0.428
APO Score,0.0 [0.0–1.0],0.0 [0.0–0.0],0.0 [0.0–0.0],<0.001
Ever pregnant (%),79.3%,77.5%,63.7%,<0.001
Nulliparous (%),3.3%,3.4%,5.7%,0.133
GDM history (%),25.0%,12.2%,7.9%,<0.001
Macrosomia history (%),19.8%,13.7%,10.9%,0.072
── Medication Prevalence ──,,,,
Metformin (%),14.0%,2.1%,0.5%,<0.001
Statin (%),5.0%,0.7%,0.2%,<0.001
Antihypertensive (%),21.5%,7.7%,3.5%,<0.001
Insulin (%),3.3%,0.2%,0.0%,<0.001
Hormonal contraception (%),5.8%,8.2%,15.2%,<0.001
Any CKM medication (%),51.2%,40.2%,40.8%,0.072
── Demographics ──,,,,
Age (years),38.0 [31.0–41.0],33.0 [27.0–39.0],30.0 [24.0–37.0],<0.001
Income-to-poverty ratio,1.7 [1.0–3.1],1.7 [0.9–3.0],2.4 [1.1–4.6],<0.001
