feature,intended_use,n_valid,pct_valid,clustering
Age_Menarche,descriptive,1525,95.1,False
Irregular_Periods,descriptive,1601,99.9,False
Menopause_Status,descriptive,1602,99.9,False
Age_Menopause,descriptive,62,3.9,False
Reproductive_Span,descriptive,58,3.6,False
Ever_Pregnant,stratification,1601,99.9,False
Gravidity,descriptive,1114,69.5,False
Parity,descriptive,1135,70.8,False
Pregnancy_Loss,descriptive,1100,68.6,False
Nulliparous,descriptive,1601,99.9,False
Has_GDM,descriptive,1148,71.6,False
Has_Macrosomia,descriptive,1061,66.2,False
APO_Score,descriptive,1061,66.2,False
Has_Hysterectomy,descriptive,1584,98.8,False
Has_Oophorectomy,descriptive,1580,98.6,False
Surgical_Menopause,descriptive,1585,98.9,False
Age_Oophorectomy,descriptive,15,0.9,False
Ever_HRT,descriptive,1597,99.6,False
HRT_Type,descriptive,66,4.1,False
